orig Songs Names,Sampling Song Names,Start of Sample,Start of sample in orig song
It's a New Day [ Skull Snaps ],Put It On [ Big L feat. Kid Capri ],['0:06'],['0:00']
It's a New Day [ Skull Snaps ],Who Got Da Props [ Black Moon ],['0:20'],['0:00']
It's a New Day [ Skull Snaps ],Butterfly [ Crazy Town ],['0:08'],['0:00']
It's a New Day [ Skull Snaps ],Coolie High [ Camp Lo ],['0:31'],['0:01']
It's a New Day [ Skull Snaps ],Cure for the Itch [ Linkin Park ],['0:54'],['0:00']
It's a New Day [ Skull Snaps ],I Want You [ Common feat. will.i.am ],['3:38'],['0:00']
It's a New Day [ Skull Snaps ],It's My Turn [ Stezo ],['0:00'],['0:00']
It's a New Day [ Skull Snaps ],Hippa to Da Hoppa [ Ol' Dirty Bastard ],['0:00'],['0:00']
It's a New Day [ Skull Snaps ],Funky Child [ Lords of the Underground ],['0:13'],['0:00']
It's a New Day [ Skull Snaps ],Stereo Hearts [ Gym Class Heroes feat. Adam Levine ],['0:27'],['0:00']
It's a New Day [ Skull Snaps ],"Remember Me (Original 12"") [ Blue Boy ]",['0:00'],['0:00']
Ashley's Roachclip [ The Soul Searchers ],Paid in Full [ Eric B. & Rakim ],['0:00'],"['3:31', '2:19']"
Ashley's Roachclip [ The Soul Searchers ],Hey Young World [ Slick Rick ],['0:00'],['3:30']
Ashley's Roachclip [ The Soul Searchers ],Set Adrift on Memory Bliss [ P.M. Dawn ],['0:14'],['3:31']
Ashley's Roachclip [ The Soul Searchers ],Girl You Know It's True [ Milli Vanilli ],['0:15'],['3:32']
Ashley's Roachclip [ The Soul Searchers ],Rival Dealer [ Burial ],['0:55'],['3:31']
Ashley's Roachclip [ The Soul Searchers ],Run's House [ Run-DMC ],"['0:09', '0:16', '3:02']","['0:21', '3:28', '3:31']"
Ashley's Roachclip [ The Soul Searchers ],Come Undone [ Duran Duran ],['0:16'],['3:31']
Ashley's Roachclip [ The Soul Searchers ],Unbelievable [ EMF ],['0:00'],['3:31']
Ashley's Roachclip [ The Soul Searchers ],Jack the Ripper [ LL Cool J ],['0:11'],['0:11']
Ashley's Roachclip [ The Soul Searchers ],Girls Around the World [ Lloyd feat. Lil Wayne ],['0:01'],['3:32']
Ashley's Roachclip [ The Soul Searchers ],Me Jodi... [ Tainy feat. Arcángel ],['0:28'],['3:33']
Ashley's Roachclip [ The Soul Searchers ],Ladyflash [ The Go! Team ],['1:52'],['0:52']
Ashley's Roachclip [ The Soul Searchers ],Bass & Key Duet [ J Dilla ],['0:00'],"['0:01', '3:31']"
Ashley's Roachclip [ The Soul Searchers ],One for the Treble (Fresh) [ Davy DMX ],['3:11'],['3:31']
Ashley's Roachclip [ The Soul Searchers ],Scarface [ Ghetto Boys ],['0:05'],['3:31']
Ashley's Roachclip [ The Soul Searchers ],Baby Don't Forget My Number [ Milli Vanilli ],['0:08'],['3:31']
Sing a Simple Song [ Sly & the Family Stone ],Deep Cover [ Dr. Dre and Snoop Dogg ],['0:32'],['2:12']
Sing a Simple Song [ Sly & the Family Stone ],Temptations [ 2Pac ],['0:02'],['2:12']
Sing a Simple Song [ Sly & the Family Stone ],Sound of Da Police [ KRS-One ],['0:09'],['2:16']
Sing a Simple Song [ Sly & the Family Stone ],The Humpty Dance [ Digital Underground ],['0:02'],['2:12']
Sing a Simple Song [ Sly & the Family Stone ],Eazy-Duz-It [ Eazy-E ],['0:59'],['2:20']
Sing a Simple Song [ Sly & the Family Stone ],Fight the Power [ Public Enemy ],"['0:50', '1:38']","['0:08', '0:40', '3:44']"
Sing a Simple Song [ Sly & the Family Stone ],Eye Know [ De La Soul ],['0:09'],['2:12']
Sing a Simple Song [ Sly & the Family Stone ],Mr. Wendal [ Arrested Development ],['0:06'],['3:49']
Sing a Simple Song [ Sly & the Family Stone ],Freak Like Me [ Adina Howard ],['0:01'],['2:12']
Sing a Simple Song [ Sly & the Family Stone ],They Don't Care About Us (Dallas Austin Main Mix) [ Michael Jackson ],['0:25'],['2:14']
Sing a Simple Song [ Sly & the Family Stone ],Getto Jam [ Domino ],['0:00'],['2:12']
Sing a Simple Song [ Sly & the Family Stone ],Jazz (We've Got) (Re-Recording) [ A Tribe Called Quest ],['0:04'],['2:14']
Sing a Simple Song [ Sly & the Family Stone ],Can't Truss It [ Public Enemy ],['0:31'],['2:12']
Sing a Simple Song [ Sly & the Family Stone ],Thank U [ Alanis Morissette ],['0:32'],['2:12']
Sing a Simple Song [ Sly & the Family Stone ],I'm That Type of Nigga [ The Pharcyde ],['0:14'],['2:12']
Sing a Simple Song [ Sly & the Family Stone ],Hey Hey Hey Heyyyy [ J Dilla ],['0:18'],['0:11']
Take Me to the Mardi Gras [ Bob James ],Peter Piper [ Run-DMC ],['0:09'],"['0:01', '0:27', '2:00']"
Take Me to the Mardi Gras [ Bob James ],Straight Outta Compton [ N.W.A ],['0:20'],['0:01']
Take Me to the Mardi Gras [ Bob James ],Max B [ A$AP Rocky feat. Joe Fox ],['0:28'],['0:00']
Take Me to the Mardi Gras [ Bob James ],"Hold It Now, Hit It [ Beastie Boys ]",['0:12'],['0:00']
Take Me to the Mardi Gras [ Bob James ],Set Adrift on Memory Bliss [ P.M. Dawn ],['2:29'],['1:55']
Take Me to the Mardi Gras [ Bob James ],A Day Wit the Homiez [ 1st Down ],['0:02'],['0:27']
Take Me to the Mardi Gras [ Bob James ],The Things That You Do (Bad Boy Remix) [ Gina Thompson feat. Missy Elliott ],['0:28'],['0:00']
Take Me to the Mardi Gras [ Bob James ],King of the Beats [ Mantronix ],['3:01'],"['0:01', '2:01']"
Take Me to the Mardi Gras [ Bob James ],Dig a Hole [ Jay-Z feat. Sterling Simms ],['0:13'],['0:00']
Take Me to the Mardi Gras [ Bob James ],"Flowers [ Ghostface Killah feat. Raekwon, Method Man and Superb ]",['0:00'],['1:18']
Take Me to the Mardi Gras [ Bob James ],Dig Your Own Hole [ The Chemical Brothers ],['0:01'],['0:02']
Take Me to the Mardi Gras [ Bob James ],I Smile [ Kirk Franklin ],['0:54'],['0:00']
Take Me to the Mardi Gras [ Bob James ],Rock the Bells [ Boys Noize ],['0:37'],['0:01']
Take Me to the Mardi Gras [ Bob James ],Step in the Name of Love (Remix) [ R. Kelly ],['1:43'],['0:01']
Take Me to the Mardi Gras [ Bob James ],Nuttin' but Love [ Heavy D & the Boyz ],['1:14'],['0:01']
Take Me to the Mardi Gras [ Bob James ],When Will They Shoot? [ Ice Cube ],['0:06'],['0:26']
I Know You Got Soul [ Eric B. & Rakim ],Try Again [ Aaliyah ],['0:01'],['0:10']
I Know You Got Soul [ Eric B. & Rakim ],Pump Up the Volume [ M|A|R|R|S ],['0:06'],['0:28']
I Know You Got Soul [ Eric B. & Rakim ],Can't Knock the Hustle [ Jay-Z feat. Mary J. Blige ],['0:47'],['0:05']
I Know You Got Soul [ Eric B. & Rakim ],Re-Arranged [ Limp Bizkit ],['0:03'],['2:02']
I Know You Got Soul [ Eric B. & Rakim ],Follow the Leader [ Eric B. & Rakim ],['0:03'],['4:09']
I Know You Got Soul [ Eric B. & Rakim ],Love [ Mos Def ],['0:11'],['0:57']
I Know You Got Soul [ Eric B. & Rakim ],Cop That Shit [ Timbaland and Magoo feat. Missy Elliott ],['0:28'],['0:09']
I Know You Got Soul [ Eric B. & Rakim ],Paid in Full (Seven Minutes of Madness - the Coldcut Remix) [ Eric B. & Rakim ],['0:41'],['0:27']
I Know You Got Soul [ Eric B. & Rakim ],You Gots to Chill [ EPMD ],"['0:05', '0:15']",['0:36']
I Know You Got Soul [ Eric B. & Rakim ],Why Me Baby? (Hip Hop Mix) [ Keith Sweat feat. LL Cool J ],['0:01'],['2:10']
I Know You Got Soul [ Eric B. & Rakim ],Chicken Grease [ D'Angelo ],['1:31'],['1:35']
I Know You Got Soul [ Eric B. & Rakim ],1-2-3-4-5-6-7-8 [ DJ Icey ],['0:00'],['4:03']
I Know You Got Soul [ Eric B. & Rakim ],Pomp [ Dottor Dag ],['1:20'],['0:26']
I Know You Got Soul [ Eric B. & Rakim ],International Affair [ Sean Paul feat. Debbie Nova ],['0:14'],['0:49']
I Know You Got Soul [ Eric B. & Rakim ],World Go Round [ Busta Rhymes feat. Estelle ],['0:02'],['0:09']
I Know You Got Soul [ Eric B. & Rakim ],Knock Some Boots [ Sam the Beast ],['0:00'],['3:46']
The Payback [ James Brown ],King Kunta [ Kendrick Lamar ],['0:48'],['1:56']
The Payback [ James Brown ],Can't You See [ Total feat. The Notorious B.I.G. ],['0:07'],['0:00']
The Payback [ James Brown ],Protection [ Massive Attack and Tracey Thorn ],['0:53'],['0:00']
The Payback [ James Brown ],Hold On [ En Vogue ],['1:06'],['0:03']
The Payback [ James Brown ],My Lovin' (You're Never Gonna Get It) [ En Vogue ],['0:04'],['0:41']
The Payback [ James Brown ],The Big Payback [ EPMD ],['1:03'],['0:10']
The Payback [ James Brown ],Get Down [ Nas ],['1:38'],['7:35']
The Payback [ James Brown ],The Payback (Gotta) [ Madlib ],['0:05'],['0:36']
The Payback [ James Brown ],In the Meanwhile [ Jodeci feat. Timbaland ],['0:06'],['0:43']
The Payback [ James Brown ],Break Loose [ Gramatik ],"['0:00', '0:07', '0:09', '0:14', '0:18', '2:38']","['4:22', '2:32', '4:48', '7:17', '2:33']"
The Payback [ James Brown ],Unchained (The Payback/Untouchable) [ James Brown and 2Pac ],"['0:00', '0:05', '0:39']","['7:27', '0:36', '1:14']"
The Payback [ James Brown ],Everything [ Mary J. Blige ],['0:37'],['0:03']
The Payback [ James Brown ],Somethin' Funky [ Big Daddy Kane ],"['0:25', '0:34']","['0:46', '2:34']"
The Payback [ James Brown ],All the Places [ Pete Rock & C.L. Smooth ],['0:01'],['7:27']
The Payback [ James Brown ],Scream [ Rappinstine ],['2:14'],['2:29']
The Payback [ James Brown ],I'm Outstanding [ Shaquille O'Neal ],['0:04'],['0:01']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],Twerkulator [ City Girls ],['0:38'],['0:15']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],Off to the Races [ Lana Del Rey ],['0:00'],['0:01']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],"Institutionalized [ Kendrick Lamar feat. Bilal, Anna Wise and Snoop Dogg ]",['1:06'],['4:14']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],Love of My Life (An Ode to Hip-Hop) [ Erykah Badu feat. Common ],['0:33'],['0:17']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],Fight the Power [ Public Enemy ],['3:10'],['0:14']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],Doo Doo Brown [ 2 Hyped Brothers & a Dog ],['0:57'],['0:15']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],Control Myself [ LL Cool J feat. Jennifer Lopez ],['3:10'],['4:14']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],Losing My Edge [ LCD Soundsystem ],['3:23'],['0:15']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],What's Up [ Xscape ],['0:00'],['0:17']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],Opportunity Knocks [ DJ Premier feat. Nick Javas ],['2:18'],['0:30']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],The Universal Magnetic [ Mos Def ],['1:20'],['3:28']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],Yo Yo Get Funky [ Fast Eddie ],['1:03'],['0:04']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],Feels Good [ Tony! Toni! Toné! ],['0:14'],['0:14']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],Party People [ Royal House ],['0:03'],['0:01']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],Doctorin' the House [ Coldcut feat. Yazz and The Plastic Population ],['0:40'],['0:14']
Planet Rock [ Afrika Bambaataa and Soulsonic Force ],All I Want for Christmas Is You (So So Def Remix) [ Mariah Carey feat. Jermaine Dupri and Bow Wow ],['0:32'],['1:18']
King of the Beats [ Mantronix ],The Power [ Snap! ],['0:11'],['3:46']
King of the Beats [ Mantronix ],Thug Tears [ JPEGMAFIA ],['1:47'],['0:01']
King of the Beats [ Mantronix ],Waves [ J Dilla ],['0:44'],['0:01']
King of the Beats [ Mantronix ],Lightworks [ J Dilla ],['0:23'],['0:01']
King of the Beats [ Mantronix ],5 Hooks [ Logic ],['0:00'],['0:00']
King of the Beats [ Mantronix ],Gobstopper [ J Dilla ],['0:02'],['0:01']
King of the Beats [ Mantronix ],Workinonit [ J Dilla ],['0:00'],['0:01']
King of the Beats [ Mantronix ],Block Rockin' Beats [ The Chemical Brothers ],['0:35'],['1:47']
King of the Beats [ Mantronix ],It's Me Bitches [ Swizz Beatz ],['1:18'],['0:01']
King of the Beats [ Mantronix ],Song to the Siren [ The Chemical Brothers ],['0:18'],['0:01']
King of the Beats [ Mantronix ],Phantom of the Synths [ J Dilla ],['0:00'],['0:00']
King of the Beats [ Mantronix ],"B-Boy Document [ The High & Mighty feat. Mike Zoot, Mos Def and El-P ]",['0:00'],['4:51']
King of the Beats [ Mantronix ],Sycamore [ J Dilla ],['0:01'],['0:01']
King of the Beats [ Mantronix ],Chewing Gum [ Blood Orange feat. A$AP Rocky and Project Pat ],['1:12'],['0:01']
King of the Beats [ Mantronix ],Tambourine [ Eve feat. Swizz Beatz ],['0:07'],['0:01']
King of the Beats [ Mantronix ],Zelda [ J Dilla ],['0:01'],['0:01']
"Get Up, Get Into It, Get Involved [ James Brown ]",That's My Bitch [ Jay-Z and Kanye West ],['0:18'],['0:01']
"Get Up, Get Into It, Get Involved [ James Brown ]",Eric B. Is President (Original Mix) [ Eric B. feat. Rakim ],['0:18'],['0:09']
"Get Up, Get Into It, Get Involved [ James Brown ]",Set It Off [ Big Daddy Kane ],['0:07'],['3:33']
"Get Up, Get Into It, Get Involved [ James Brown ]",South Bronx [ Boogie Down Productions ],['0:26'],['3:06']
"Get Up, Get Into It, Get Involved [ James Brown ]",Bring the Noise [ Public Enemy ],['2:43'],['3:34']
"Get Up, Get Into It, Get Involved [ James Brown ]",Ghetto Supastar (That Is What You Are) [ Pras feat. Mýa and Ol' Dirty Bastard ],['0:22'],['0:01']
"Get Up, Get Into It, Get Involved [ James Brown ]",Handling Things [ Supreme Force ],['0:14'],['0:04']
"Get Up, Get Into It, Get Involved [ James Brown ]",Poison [ Kool G Rap & DJ Polo ],['0:06'],['3:39']
"Get Up, Get Into It, Get Involved [ James Brown ]",Where Are They Now [ Nas ],['0:19'],['3:33']
"Get Up, Get Into It, Get Involved [ James Brown ]",The Sounds of Science [ Beastie Boys ],['2:24'],['3:36']
"Get Up, Get Into It, Get Involved [ James Brown ]",Welcome to the Terrordome [ Public Enemy ],"['1:47', '2:01', '5:07']","['3:34', '3:32']"
"Get Up, Get Into It, Get Involved [ James Brown ]",3 Tha Hard Way [ Bahamadia ],['0:06'],['0:09']
"Get Up, Get Into It, Get Involved [ James Brown ]",Get Up (Before the Night Is Over) [ Technotronic ],['1:20'],['0:04']
"Get Up, Get Into It, Get Involved [ James Brown ]",Can't Truss It [ Public Enemy ],['0:32'],['0:09']
"Get Up, Get Into It, Get Involved [ James Brown ]",Brothers Gonna Work It Out [ Public Enemy ],['1:32'],['0:09']
"Get Up, Get Into It, Get Involved [ James Brown ]",Terminator X to the Edge of Panic [ Public Enemy ],['1:31'],"['3:37', '3:38', '3:39']"
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],So What'cha Want [ Beastie Boys ],['2:14'],['0:10']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],Boom Biddy Bye Bye [ Cypress Hill ],['2:12'],['0:47']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],MVP [ Big L ],['0:03'],['3:18']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],Jump Around (Pete Rock's Blood Stain Remix) [ House of Pain feat. Pete Rock ],['0:18'],['1:45']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],I Get Physical [ Pete Rock & C.L. Smooth ],['0:21'],['2:14']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],Nostalgia [ Marco Polo feat. Masta Ace ],['2:16'],['1:49']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],Can't Wait [ Redman ],['0:01'],['1:45']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],Hyperspeed (G-Force Part 2) [ The Prodigy ],['1:49'],['0:11']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],Rather Unique [ AZ ],['1:10'],['2:00']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],Coco Mango Diced (Boy Scout Mix) [ MF DOOM and Damu the Fudgemunk ],['0:01'],['0:10']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],Think of You [ Usher ],['0:01'],['0:48']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],"4 My Peeps [ Red Hot Lover Tone feat. The Notorious B.I.G., Prince Poetry and M.O.P. ]",['0:01'],['1:41']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],Tranqi Funky [ Articolo 31 ],['0:09'],['0:00']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],Poison [ Kool G Rap & DJ Polo ],['1:07'],['0:01']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],Walk on By [ Pete Rock ],['0:47'],['2:37']
Just Rhymin' With Biz [ Big Daddy Kane feat. Biz Markie ],Neva Faded [ Lords of the Underground feat. Supreme C ],['0:22'],['0:10']
Nautilus [ Bob James ],Children's Story [ Slick Rick ],['0:07'],['0:10']
Nautilus [ Bob James ],Daytona 500 [ Ghostface Killah feat. Raekwon and Cappadonna ],['0:40'],['3:17']
Nautilus [ Bob James ],Follow the Leader [ Eric B. & Rakim ],['0:08'],['2:26']
Nautilus [ Bob James ],Beats to the Rhyme [ Run-DMC ],['0:10'],['3:29']
Nautilus [ Bob James ],"Live at the Barbeque [ Main Source feat. Nas, Joe Fatal and Akinyele ]",['0:07'],['3:36']
Nautilus [ Bob James ],Clap Your Hands [ A Tribe Called Quest ],['0:17'],['0:05']
Nautilus [ Bob James ],Extradite [ Freddie Gibbs feat. Black Thought ],"['0:00', '0:18']","['0:47', '0:00']"
Nautilus [ Bob James ],Throw Ya Gunz [ Onyx ],['0:19'],['2:05']
Nautilus [ Bob James ],My Mind Spray [ Jeru the Damaja ],['0:01'],['0:04']
Nautilus [ Bob James ],Pac Blood [ Danny Brown ],['0:00'],['3:35']
Nautilus [ Bob James ],The Rhyme (Slum Village Street Remix) [ Keith Murray ],['1:17'],['1:49']
Nautilus [ Bob James ],Sparkdala [ Quasimoto ],['0:48'],['0:09']
Nautilus [ Bob James ],Sincerity [ Mary J. Blige feat. DMX and Nas ],['0:05'],['3:30']
Nautilus [ Bob James ],New Nautilus [ Gramatik ],['0:00'],['0:47']
Nautilus [ Bob James ],Daaam! [ Tha Alkaholiks ],['0:23'],['0:05']
Nautilus [ Bob James ],Murray's Revenge [ MURS and 9th Wonder ],['0:13'],"['0:04', '0:47']"
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],Witch Doktor [ Armand Van Helden ],['0:17'],['0:54']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],Calling for You [ Drake feat. 21 Savage ],['0:00'],['0:54']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],Qué Calor [ Major Lazer feat. J Balvin and El Alfa ],['1:24'],['0:54']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],KNAS [ Steve Angello ],['2:13'],['0:54']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],Cthulhu Sleeps [ deadmau5 ],['6:59'],['0:54']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],Paris [ David Guetta ],['1:14'],['0:54']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],"Ahora Dice [ Chris Jeday feat. J Balvin, Ozuna and Arcángel ]",['1:44'],['1:44']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],Need You [ Dillon Francis and NGHTMRE ],['0:17'],['0:03']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],Memories [ Petit Biscuit ],['0:16'],['1:44']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],Need Some1 [ The Prodigy ],['0:39'],['0:05']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],Gecko (Overdrive) [ Oliver Heldens and Becky Hill ],['1:03'],['1:44']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],Purple Hat [ Sofi Tukker ],['0:53'],['0:54']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],Secrets (Don Diablo Remix) [ Tiësto and KSHMR feat. Vassy ],['1:20'],['0:54']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],Too Original [ Major Lazer feat. Elliphant and Jovi Rockwell ],['0:22'],['1:44']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],"NRG (Skrillex, Kill the Noise, Milo & Otis Remix) [ Duck Sauce ]",['0:16'],['0:52']
Crash Goes Love (Yell Apella) [ Loleatta Holloway ],Up & Down [ Vengaboys ],['1:32'],['0:59']
Get Up Offa That Thing [ James Brown ],XXX. [ Kendrick Lamar feat. U2 ],['0:30'],['0:19']
Get Up Offa That Thing [ James Brown ],South Bronx [ Boogie Down Productions ],['0:04'],['0:20']
Get Up Offa That Thing [ James Brown ],"Fish / Boppin Bitch [ Tyler, the Creator feat. Frank Ocean ]",['0:03'],['0:19']
Get Up Offa That Thing [ James Brown ],Luv [ Apink ],['0:09'],['0:19']
Get Up Offa That Thing [ James Brown ],Rebel Without a Pause [ Public Enemy ],['0:09'],['0:20']
Get Up Offa That Thing [ James Brown ],Twerk [ City Girls feat. Cardi B ],['0:21'],['0:19']
Get Up Offa That Thing [ James Brown ],WTP [ Teyana Taylor ],['0:11'],['0:19']
Get Up Offa That Thing [ James Brown ],(Everyday Is) Halloween [ Ministry ],['3:18'],['0:00']
Get Up Offa That Thing [ James Brown ],Conga [ Miami Sound Machine ],['2:26'],['0:00']
Get Up Offa That Thing [ James Brown ],Teenage Dirtbag [ Wheatus ],['0:06'],['0:00']
Get Up Offa That Thing [ James Brown ],I Want You [ Savage Garden ],['2:40'],['0:20']
Get Up Offa That Thing [ James Brown ],Mad Crew [ KRS-One ],['0:37'],['0:20']
Get Up Offa That Thing [ James Brown ],20 Seconds to Comply [ Silver Bullet ],['0:35'],['0:01']
Get Up Offa That Thing [ James Brown ],Candy's Groove [ Candy Fresh ],['0:04'],['0:20']
Get Up Offa That Thing [ James Brown ],Comme Un Grand [ 1995 ],['0:05'],['0:19']
Get Up Offa That Thing [ James Brown ],The Kids [ Jamiroquai ],['1:22'],['0:01']
Sesame Street [ Blowfly ],What Is Love? [ Twice ],['1:12'],['0:25']
Sesame Street [ Blowfly ],The Helicopter Tune [ Deep Blue ],['0:24'],['0:25']
Sesame Street [ Blowfly ],All Day [ Calibre ],['0:00'],['0:26']
Sesame Street [ Blowfly ],Incredible [ M-Beat feat. General Levy ],['0:11'],['0:25']
Sesame Street [ Blowfly ],Maxi(Mun) Style [ Tom and Jerry ],['0:07'],['0:26']
Sesame Street [ Blowfly ],Badboy Business [ Shy FX feat. Kate Stewart and Mr Williamz ],['0:23'],['0:26']
Sesame Street [ Blowfly ],UK [ Dimension ],['0:01'],['0:26']
Sesame Street [ Blowfly ],Style [ M-Beat ],['0:59'],['0:26']
Sesame Street [ Blowfly ],Fly Like a Butterfly [ Potential Bad Boy ],['0:22'],['0:25']
Sesame Street [ Blowfly ],Convoy [ Blowfly ],['4:42'],['0:29']
Sesame Street [ Blowfly ],We Eat Rhythm [ The Prodigy ],['1:25'],['0:25']
Sesame Street [ Blowfly ],Request the Style (Project One Remix) [ Top Cat ],['0:28'],['0:25']
Sesame Street [ Blowfly ],Airfreshner [ Tom and Jerry ],['0:00'],['0:26']
Sesame Street [ Blowfly ],Ain't U Da Masta [ Masta Ace Incorporated ],['4:04'],"['0:29', '0:40', '0:52', '1:00', '1:13', '1:25', '1:37']"
Sesame Street [ Blowfly ],Mutant Jazz [ T.Power and MK-Ultra ],['1:44'],['0:26']
Sesame Street [ Blowfly ],Spellin' Beatnuts With Lil' Donny [ The Beatnuts ],['0:00'],"['0:25', '0:29', '0:32', '0:44', '1:20', '1:41', '1:45', '1:49']"
The Assembly Line [ Commodores ],Informer [ Snow ],['1:07'],['4:08']
The Assembly Line [ Commodores ],Let the Rhythm Hit 'Em [ Eric B. & Rakim ],['0:11'],['4:08']
The Assembly Line [ Commodores ],Their Law [ The Prodigy feat. Pop Will Eat Itself ],"['2:55', '1:44']",['4:09']
The Assembly Line [ Commodores ],Road to the Riches [ Kool G Rap & DJ Polo ],['0:25'],['4:09']
The Assembly Line [ Commodores ],Pandemonium [ The Prodigy ],['0:16'],['4:08']
The Assembly Line [ Commodores ],Bring the Noise [ Public Enemy ],['2:45'],['4:08']
The Assembly Line [ Commodores ],The Floor (Raw With Bass) [ Johnny Gill ],['0:11'],['4:08']
The Assembly Line [ Commodores ],Frequency [ Altern 8 ],['0:15'],['4:08']
The Assembly Line [ Commodores ],"Two, Three, Break [ The B-Boys ]",['2:59'],['3:11']
The Assembly Line [ Commodores ],Spitfire (Kill the Noise Remix) [ Porter Robinson ],"['1:03', '1:51']",['4:08']
The Assembly Line [ Commodores ],Chop Chop Master Onion's Rap [ Masaya Matsuura ],['0:06'],['4:09']
The Assembly Line [ Commodores ],80s Fitness [ KOAN Sound ],['0:19'],['4:08']
The Assembly Line [ Commodores ],Break the Rules [ Charli XCX ],['1:14'],['4:10']
The Assembly Line [ Commodores ],The Bomb [ Ice Cube ],['2:49'],['4:08']
The Assembly Line [ Commodores ],Born Killer [ Scarface ],['0:10'],['4:09']
The Assembly Line [ Commodores ],B Side Wins Again [ Public Enemy ],['1:45'],['4:09']
Buffalo Gals [ Malcolm McLaren ],Without Me [ Eminem ],['0:14'],['0:57']
Buffalo Gals [ Malcolm McLaren ],She Knows [ J. Cole feat. Amber Coffman ],['4:23'],['0:06']
Buffalo Gals [ Malcolm McLaren ],Hey DJ [ World's Famous Supreme Team ],['5:03'],['0:57']
Buffalo Gals [ Malcolm McLaren ],"High Powered [ Dr. Dre feat. RBX, The Lady of Rage and Daz Dillinger ]",['0:10'],['0:01']
Buffalo Gals [ Malcolm McLaren ],Workinonit [ J Dilla ],['2:31'],['0:01']
Buffalo Gals [ Malcolm McLaren ],I Wish [ Skee-Lo ],['1:29'],['0:00']
Buffalo Gals [ Malcolm McLaren ],Doin' Time [ Sublime ],['0:12'],['0:01']
Buffalo Gals [ Malcolm McLaren ],Doin' Time [ Lana Del Rey ],['0:27'],['0:00']
Buffalo Gals [ Malcolm McLaren ],"The Killing Season [ A Tribe Called Quest feat. Consequence, Talib Kweli and Kanye West ]",['0:00'],['0:00']
Buffalo Gals [ Malcolm McLaren ],The Red [ Jaylib ],['2:55'],['0:00']
Buffalo Gals [ Malcolm McLaren ],Buffalo Stance [ Neneh Cherry ],['1:11'],['0:06']
Buffalo Gals [ Malcolm McLaren ],They Want EFX [ Das EFX ],['0:11'],['0:01']
Buffalo Gals [ Malcolm McLaren ],The Next Movement [ The Roots ],['3:02'],['0:06']
Buffalo Gals [ Malcolm McLaren ],Really Be (Smokin N Drinkin) [ YG feat. Kendrick Lamar ],['3:34'],['0:00']
Buffalo Gals [ Malcolm McLaren ],Curb Ya Dog [ Prodigy and The Alchemist ],['2:40'],['0:03']
Buffalo Gals [ Malcolm McLaren ],Smoke Break [ Curren$y ],['0:30'],['0:03']
AJ Scratch [ Kurtis Blow ],Public Enemy No. 1 [ Public Enemy ],['1:31'],['0:00']
